transacao_id,cliente_id,data_compra,valor_compra,meio_pagamento,campanha
61,304,2022-03-02,162,cartão,dia_pais
62,703,2022-03-03,75,boleto,volta_as_aulas
63,325,2022-03-04,140,cartão,sem_campanha
64,437,2022-03-05,134,boleto,sem_campanha
65,438,2022-03-06,136,pix,dia_maes
66,170,2022-03-07,197,cartão,sem_campanha
67,375,2022-03-08,206,cartão,sem_campanha
68,557,2022-03-09,144,cartão,black_friday
69,381,2022-03-10,80,cartão,volta_as_aulas
70,986,2022-03-11,154,cartão,volta_as_aulas
71,14,2022-03-12,122,cartão,sem_campanha
72,743,2022-03-13,160,cartão,dia_pais
73,669,2022-03-14,143,cartão,dia_pais
74,500,2022-03-15,210,cartão,black_friday
75,646,2022-03-16,163,cartão,dia_maes
76,391,2022-03-17,122,cartão,sem_campanha
77,549,2022-03-18,80,boleto,sem_campanha
78,565,2022-03-19,147,boleto,black_friday
79,530,2022-03-20,147,pix,natal
80,983,2022-03-21,136,cartão,dia_pais
81,492,2022-03-22,188,cartão,sem_campanha
82,550,2022-03-23,80,cartão,sem_campanha
83,699,2022-03-24,111,cartão,black_friday
84,385,2022-03-25,152,cartão,dia_pais
85,196,2022-03-26,122,cartão,volta_as_aulas
86,755,2022-03-27,132,boleto,sem_campanha
87,300,2022-03-28,146,cartão,ano_novo
88,815,2022-03-29,184,cartão,dia_maes
89,547,2022-03-30,144,boleto,dia_pais
90,727,2022-03-31,51,cartão,volta_as_aulas
91,731,2022-04-01,119,cartão,sem_campanha
92,828,2022-04-02,174,cartão,black_friday
93,602,2022-04-03,188,boleto,dia_pais
94,308,2022-04-04,190,cartão,sem_campanha
95,252,2022-04-05,205,cartão,dia_maes
96,8,2022-04-06,155,cartão,ano_novo
97,768,2022-04-07,163,cartão,dia_pais
98,875,2022-04-08,99,cartão,sem_campanha
99,208,2022-04-09,41,cartão,black_friday
100,937,2022-04-10,79,cartão,sem_campanha
101,131,2022-04-11,114,cartão,natal
102,736,2022-04-12,82,cartão,natal
103,709,2022-04-13,135,cartão,sem_campanha
104,980,2022-04-14,126,cartão,sem_campanha
105,654,2022-04-15,196,cartão,black_friday
106,764,2022-04-16,101,cartão,sem_campanha
107,608,2022-04-17,157,cartão,dia_maes
108,26,2022-04-18,129,cartão,sem_campanha
109,623,2022-04-19,99,boleto,black_friday
110,454,2022-04-20,113,boleto,dia_pais
111,635,2022-04-21,47,cartão,volta_as_aulas
112,186,2022-04-22,187,boleto,ano_novo
113,484,2022-04-23,220,cartão,ano_novo
114,680,2022-04-24,136,boleto,volta_as_aulas
115,51,2022-04-25,151,cartão,sem_campanha
116,891,2022-04-26,135,cartão,natal
117,5,2022-04-27,108,cartão,natal
118,589,2022-04-28,185,cartão,sem_campanha
119,160,2022-04-29,165,cartão,black_friday
120,208,2022-04-30,4,cartão,volta_as_aulas
121,257,2022-05-01,98,cartão,volta_as_aulas
122,205,2022-05-02,47,boleto,dia_pais
123,767,2022-05-03,227,cartão,sem_campanha
124,950,2022-05-04,141,cartão,dia_maes
125,11,2022-05-05,162,boleto,dia_maes
126,949,2022-05-06,132,cartão,dia_maes
127,8,2022-05-07,205,boleto,natal
128,409,2022-05-08,193,cartão,dia_pais
129,936,2022-05-09,139,cartão,sem_campanha
130,32,2022-05-10,235,cartão,sem_campanha
131,984,2022-05-11,159,cartão,sem_campanha
132,540,2022-05-12,76,cartão,natal
133,718,2022-05-13,155,cartão,black_friday
134,387,2022-05-14,175,cartão,sem_campanha
135,228,2022-05-15,143,cartão,black_friday
136,640,2022-05-16,129,cartão,sem_campanha
137,767,2022-05-17,238,cartão,sem_campanha
138,475,2022-05-18,90,boleto,sem_campanha
139,724,2022-05-19,11,cartão,dia_pais
140,751,2022-05-20,230,boleto,natal
141,207,2022-05-21,88,cartão,sem_campanha
142,318,2022-05-22,135,boleto,sem_campanha
143,795,2022-05-23,131,cartão,natal
144,757,2022-05-24,211,cartão,sem_campanha
145,557,2022-05-25,221,cartão,dia_maes
146,617,2022-05-26,85,cartão,volta_as_aulas
147,348,2022-05-27,217,cartão,sem_campanha
148,793,2022-05-28,216,cartão,natal
149,234,2022-05-29,150,cartão,dia_maes
150,701,2022-05-30,196,cartão,black_friday
151,44,2022-05-31,201,cartão,natal
152,737,2022-06-01,137,cartão,natal
153,942,2022-06-02,142,cartão,dia_maes
154,142,2022-06-03,179,pix,dia_maes
155,648,2022-06-04,68,cartão,sem_campanha
156,176,2022-06-05,132,cartão,sem_campanha
157,654,2022-06-06,89,cartão,volta_as_aulas
158,449,2022-06-07,221,cartão,natal
159,592,2022-06-08,131,cartão,dia_maes
160,82,2022-06-09,163,cartão,sem_campanha
161,135,2022-06-10,139,boleto,sem_campanha
162,719,2022-06-11,135,cartão,sem_campanha
163,856,2022-06-12,160,cartão,black_friday
164,177,2022-06-13,113,cartão,sem_campanha
165,383,2022-06-14,140,cartão,ano_novo
166,243,2022-06-15,139,cartão,sem_campanha
167,567,2022-06-16,128,cartão,ano_novo
168,141,2022-06-17,169,cartão,volta_as_aulas
169,457,2022-06-18,127,cartão,sem_campanha
170,440,2022-06-19,230,cartão,sem_campanha
171,56,2022-06-20,181,pix,dia_maes
172,527,2022-06-21,82,cartão,natal
173,697,2022-06-22,177,cartão,volta_as_aulas
174,826,2022-06-23,115,cartão,dia_maes
175,419,2022-06-24,156,cartão,volta_as_aulas
176,88,2022-06-25,113,boleto,sem_campanha
177,609,2022-06-26,40,boleto,ano_novo
178,656,2022-06-27,148,cartão,sem_campanha
179,8,2022-06-28,78,cartão,sem_campanha
180,477,2022-06-29,170,cartão,sem_campanha
181,215,2022-06-30,158,boleto,sem_campanha
182,685,2022-07-01,119,cartão,sem_campanha
183,735,2022-07-02,241,boleto,volta_as_aulas
184,552,2022-07-03,88,cartão,dia_pais
185,497,2022-07-04,118,cartão,dia_pais
186,694,2022-07-05,93,boleto,dia_pais
187,503,2022-07-06,252,pix,dia_pais
188,782,2022-07-07,217,cartão,sem_campanha
189,699,2022-07-08,78,boleto,ano_novo
190,245,2022-07-09,108,boleto,dia_maes
191,478,2022-07-10,110,boleto,sem_campanha
192,309,2022-07-11,122,pix,volta_as_aulas
193,231,2022-07-12,97,cartão,ano_novo
194,383,2022-07-13,119,cartão,sem_campanha
195,155,2022-07-14,200,boleto,sem_campanha
196,175,2022-07-15,247,cartão,dia_pais
197,848,2022-07-16,72,cartão,sem_campanha
198,115,2022-07-17,97,cartão,natal
199,390,2022-07-18,160,boleto,ano_novo
200,311,2022-07-19,70,cartão,dia_maes
201,993,2022-07-20,161,cartão,sem_campanha
202,300,2022-07-21,177,cartão,dia_maes
203,18,2022-07-22,185,cartão,sem_campanha
204,784,2022-07-23,175,cartão,dia_maes
205,12,2022-07-24,123,cartão,sem_campanha
206,404,2022-07-25,140,cartão,sem_campanha
207,813,2022-07-26,91,boleto,dia_pais
208,704,2022-07-27,173,cartão,dia_pais
209,232,2022-07-28,230,pix,sem_campanha
210,955,2022-07-29,173,cartão,black_friday
211,605,2022-07-30,115,pix,black_friday
212,990,2022-07-31,199,cartão,natal
213,730,2022-08-01,268,cartão,ano_novo
214,278,2022-08-02,162,cartão,natal
215,353,2022-08-03,177,cartão,dia_maes
216,999,2022-08-04,183,cartão,sem_campanha
217,303,2022-08-05,69,cartão,black_friday
218,541,2022-08-06,129,boleto,natal
219,470,2022-08-07,124,cartão,sem_campanha
220,813,2022-08-08,191,pix,sem_campanha
221,77,2022-08-09,185,cartão,dia_pais
222,521,2022-08-10,143,pix,black_friday
223,24,2022-08-11,121,cartão,ano_novo
224,15,2022-08-12,65,cartão,dia_maes
225,676,2022-08-13,149,cartão,sem_campanha
226,525,2022-08-14,102,boleto,sem_campanha
227,347,2022-08-15,96,cartão,sem_campanha
228,172,2022-08-16,196,cartão,sem_campanha
229,869,2022-08-17,191,cartão,volta_as_aulas
230,327,2022-08-18,125,cartão,sem_campanha
231,712,2022-08-19,71,cartão,sem_campanha
232,485,2022-08-20,108,cartão,ano_novo
233,489,2022-08-21,199,boleto,black_friday
234,462,2022-08-22,173,cartão,volta_as_aulas
235,378,2022-08-23,126,boleto,natal
236,588,2022-08-24,152,cartão,sem_campanha
237,164,2022-08-25,46,cartão,sem_campanha
238,372,2022-08-26,42,pix,sem_campanha
239,573,2022-08-27,248,cartão,sem_campanha
240,1000,2022-08-28,175,cartão,sem_campanha
241,977,2022-08-29,150,boleto,dia_maes
242,424,2022-08-30,130,cartão,dia_pais
243,757,2022-08-31,61,cartão,sem_campanha
244,477,2022-09-01,199,cartão,sem_campanha
245,382,2022-09-02,93,cartão,sem_campanha
246,155,2022-09-03,185,cartão,dia_maes
247,257,2022-09-04,156,cartão,sem_campanha
248,756,2022-09-05,147,cartão,sem_campanha
249,674,2022-09-06,84,boleto,dia_maes
250,68,2022-09-07,85,cartão,sem_campanha
251,344,2022-09-08,169,cartão,dia_pais
252,277,2022-09-09,153,cartão,natal
253,673,2022-09-10,152,boleto,sem_campanha
254,391,2022-09-11,164,boleto,natal
255,449,2022-09-12,53,boleto,dia_maes
256,259,2022-09-13,200,boleto,sem_campanha
257,307,2022-09-14,132,cartão,sem_campanha
258,847,2022-09-15,208,cartão,dia_maes
259,95,2022-09-16,49,cartão,sem_campanha
260,950,2022-09-17,178,cartão,dia_maes
261,464,2022-09-18,177,cartão,sem_campanha
262,970,2022-09-19,75,cartão,sem_campanha
263,246,2022-09-20,118,cartão,dia_pais
264,733,2022-09-21,97,pix,natal
265,635,2022-09-22,193,cartão,dia_pais
266,187,2022-09-23,165,cartão,natal
267,774,2022-09-24,229,cartão,sem_campanha
268,925,2022-09-25,160,cartão,dia_pais
269,785,2022-09-26,186,cartão,dia_maes
270,373,2022-09-27,208,cartão,sem_campanha
271,572,2022-09-28,177,cartão,dia_maes
272,406,2022-09-29,130,cartão,ano_novo
273,408,2022-09-30,121,cartão,natal
274,125,2022-10-01,146,cartão,sem_campanha
275,337,2022-10-02,189,cartão,sem_campanha
276,341,2022-10-03,111,cartão,sem_campanha
277,563,2022-10-04,182,cartão,black_friday
278,178,2022-10-05,166,boleto,dia_maes
279,651,2022-10-06,87,cartão,natal
280,952,2022-10-07,180,boleto,natal
281,839,2022-10-08,157,pix,natal
282,170,2022-10-09,122,pix,ano_novo
283,39,2022-10-10,156,boleto,ano_novo
284,69,2022-10-11,124,boleto,sem_campanha
285,236,2022-10-12,162,cartão,volta_as_aulas
286,560,2022-10-13,141,cartão,ano_novo
287,381,2022-10-14,73,cartão,sem_campanha
288,57,2022-10-15,143,cartão,ano_novo
289,277,2022-10-16,127,cartão,ano_novo
290,850,2022-10-17,181,cartão,sem_campanha
291,99,2022-10-18,193,pix,sem_campanha
292,916,2022-10-19,124,cartão,volta_as_aulas
293,527,2022-10-20,110,cartão,sem_campanha
294,325,2022-10-21,65,cartão,volta_as_aulas
295,461,2022-10-22,109,cartão,sem_campanha
296,179,2022-10-23,133,cartão,sem_campanha
297,844,2022-10-24,83,cartão,dia_pais
298,574,2022-10-25,194,cartão,sem_campanha
299,119,2022-10-26,163,cartão,sem_campanha
300,469,2022-10-27,143,cartão,dia_maes
301,549,2022-10-28,149,cartão,sem_campanha
302,646,2022-10-29,165,cartão,volta_as_aulas
303,455,2022-10-30,181,cartão,natal
304,26,2022-10-31,190,cartão,sem_campanha
305,490,2022-11-01,134,cartão,volta_as_aulas
306,8,2022-11-02,142,cartão,ano_novo
307,969,2022-11-03,158,cartão,sem_campanha
308,987,2022-11-04,140,cartão,sem_campanha
309,516,2022-11-05,193,boleto,sem_campanha
310,533,2022-11-06,211,cartão,ano_novo
311,927,2022-11-07,167,boleto,ano_novo
312,149,2022-11-08,104,cartão,dia_maes
313,488,2022-11-09,175,cartão,volta_as_aulas
314,25,2022-11-10,169,boleto,sem_campanha
315,999,2022-11-11,100,boleto,sem_campanha
316,655,2022-11-12,169,pix,black_friday
317,757,2022-11-13,122,cartão,natal
318,931,2022-11-14,187,cartão,sem_campanha
319,945,2022-11-15,175,boleto,sem_campanha
320,555,2022-11-16,161,cartão,volta_as_aulas
321,425,2022-11-17,151,boleto,sem_campanha
322,293,2022-11-18,43,cartão,dia_maes
323,185,2022-11-19,89,pix,sem_campanha
324,554,2022-11-20,143,boleto,sem_campanha
325,431,2022-11-21,225,cartão,sem_campanha
326,604,2022-11-22,178,cartão,dia_pais
327,317,2022-11-23,240,cartão,volta_as_aulas
328,398,2022-11-24,154,cartão,dia_maes
329,324,2022-11-25,148,cartão,sem_campanha
330,565,2022-11-26,221,cartão,sem_campanha
331,596,2022-11-27,142,boleto,sem_campanha
332,546,2022-11-28,100,pix,sem_campanha
333,76,2022-11-29,165,cartão,sem_campanha
334,865,2022-11-30,206,cartão,dia_maes
335,920,2022-12-01,108,boleto,sem_campanha
336,916,2022-12-02,179,boleto,dia_pais
337,709,2022-12-03,145,boleto,volta_as_aulas
338,486,2022-12-04,172,cartão,dia_maes
339,798,2022-12-05,165,boleto,volta_as_aulas
340,88,2022-12-06,129,cartão,sem_campanha
341,747,2022-12-07,144,pix,natal
342,232,2022-12-08,132,pix,natal
343,7,2022-12-09,155,boleto,sem_campanha
344,804,2022-12-10,107,cartão,sem_campanha
345,550,2022-12-11,119,boleto,ano_novo
346,976,2022-12-12,129,cartão,natal
347,52,2022-12-13,169,cartão,volta_as_aulas
348,655,2022-12-14,79,boleto,sem_campanha
349,942,2022-12-15,144,cartão,sem_campanha
350,919,2022-12-16,114,cartão,natal
351,396,2022-12-17,129,boleto,sem_campanha
352,221,2022-12-18,116,boleto,dia_maes
353,428,2022-12-19,159,boleto,dia_maes
354,752,2022-12-20,142,cartão,volta_as_aulas
355,143,2022-12-21,185,boleto,dia_pais
356,861,2022-12-22,170,cartão,sem_campanha
357,363,2022-12-23,73,boleto,black_friday
358,382,2022-12-24,102,cartão,dia_pais
359,561,2022-12-25,141,boleto,dia_pais
360,277,2022-12-26,147,cartão,volta_as_aulas
361,271,2022-12-27,106,pix,black_friday
362,14,2022-12-28,215,cartão,black_friday
363,298,2022-12-29,193,cartão,dia_maes
364,464,2022-12-30,67,cartão,ano_novo
365,527,2022-12-31,167,boleto,sem_campanha
366,234,2023-01-01,147,cartão,sem_campanha
367,575,2023-01-02,212,cartão,ano_novo
368,708,2023-01-03,71,cartão,dia_pais
369,27,2023-01-04,252,boleto,sem_campanha
370,471,2023-01-05,107,cartão,volta_as_aulas
371,93,2023-01-06,168,cartão,dia_maes
372,617,2023-01-07,119,cartão,sem_campanha
373,309,2023-01-08,131,boleto,sem_campanha
374,52,2023-01-09,65,cartão,dia_pais
375,319,2023-01-10,209,pix,black_friday
376,969,2023-01-11,136,pix,black_friday
377,181,2023-01-12,139,cartão,sem_campanha
378,569,2023-01-13,265,cartão,black_friday
379,120,2023-01-14,197,boleto,ano_novo
380,820,2023-01-15,116,pix,natal
381,875,2023-01-16,119,boleto,dia_maes
382,43,2023-01-17,162,cartão,dia_maes
383,647,2023-01-18,188,cartão,black_friday
384,885,2023-01-19,237,cartão,natal
385,938,2023-01-20,69,cartão,sem_campanha
386,260,2023-01-21,186,cartão,volta_as_aulas
387,197,2023-01-22,194,cartão,sem_campanha
388,645,2023-01-23,110,cartão,black_friday
389,971,2023-01-24,131,cartão,sem_campanha
390,255,2023-01-25,68,cartão,sem_campanha
391,732,2023-01-26,124,cartão,black_friday
392,336,2023-01-27,161,boleto,sem_campanha
393,553,2023-01-28,229,cartão,dia_maes
394,502,2023-01-29,234,cartão,sem_campanha
395,990,2023-01-30,98,cartão,dia_maes
396,900,2023-01-31,222,cartão,ano_novo
397,255,2023-02-01,52,cartão,ano_novo
398,514,2023-02-02,120,cartão,dia_pais
399,707,2023-02-03,134,cartão,sem_campanha
400,242,2023-02-04,162,boleto,ano_novo
401,149,2023-02-05,155,cartão,ano_novo
402,710,2023-02-06,168,cartão,sem_campanha
403,299,2023-02-07,140,boleto,sem_campanha
404,757,2023-02-08,197,cartão,sem_campanha
405,850,2023-02-09,184,boleto,sem_campanha
406,620,2023-02-10,135,cartão,dia_maes
407,453,2023-02-11,192,cartão,dia_pais
408,393,2023-02-12,253,cartão,dia_maes
409,212,2023-02-13,116,pix,sem_campanha
410,668,2023-02-14,233,cartão,natal
411,538,2023-02-15,120,cartão,dia_pais
412,594,2023-02-16,220,cartão,natal
413,595,2023-02-17,122,cartão,dia_maes
414,131,2023-02-18,188,pix,dia_maes
415,329,2023-02-19,158,cartão,sem_campanha
416,612,2023-02-20,60,boleto,black_friday
417,256,2023-02-21,245,cartão,ano_novo
418,479,2023-02-22,105,boleto,sem_campanha
419,561,2023-02-23,86,cartão,sem_campanha
420,913,2023-02-24,118,boleto,natal
421,63,2023-02-25,276,cartão,sem_campanha
422,311,2023-02-26,87,boleto,sem_campanha
423,407,2023-02-27,158,cartão,black_friday
424,802,2023-02-28,93,cartão,sem_campanha
425,105,2023-03-01,102,boleto,sem_campanha
426,617,2023-03-02,70,cartão,volta_as_aulas
427,837,2023-03-03,165,boleto,black_friday
428,15,2023-03-04,141,cartão,ano_novo
429,687,2023-03-05,93,cartão,sem_campanha
430,259,2023-03-06,193,boleto,dia_maes
431,723,2023-03-07,198,cartão,sem_campanha
432,412,2023-03-08,170,cartão,dia_pais
433,259,2023-03-09,208,pix,ano_novo
434,614,2023-03-10,132,cartão,dia_pais
435,260,2023-03-11,166,cartão,dia_pais
436,856,2023-03-12,132,cartão,sem_campanha
437,671,2023-03-13,74,boleto,sem_campanha
438,45,2023-03-14,160,pix,dia_pais
439,955,2023-03-15,157,pix,volta_as_aulas
440,813,2023-03-16,148,cartão,sem_campanha
441,763,2023-03-17,168,cartão,sem_campanha
442,331,2023-03-18,220,cartão,sem_campanha
443,165,2023-03-19,139,cartão,ano_novo
444,193,2023-03-20,102,cartão,sem_campanha
445,521,2023-03-21,137,cartão,sem_campanha
446,401,2023-03-22,143,boleto,natal
447,374,2023-03-23,199,boleto,ano_novo
448,65,2023-03-24,155,cartão,volta_as_aulas
449,387,2023-03-25,92,pix,sem_campanha
450,495,2023-03-26,190,pix,black_friday
451,794,2023-03-27,182,cartão,volta_as_aulas
452,693,2023-03-28,155,cartão,dia_pais
453,415,2023-03-29,197,cartão,natal
454,794,2023-03-30,205,cartão,dia_pais
455,791,2023-03-31,131,cartão,sem_campanha
456,30,2023-04-01,104,cartão,dia_pais
457,266,2023-04-02,149,pix,ano_novo
458,328,2023-04-03,176,cartão,ano_novo
459,492,2023-04-04,144,cartão,ano_novo
460,217,2023-04-05,100,cartão,ano_novo
461,320,2023-04-06,158,cartão,natal
462,918,2023-04-07,48,cartão,dia_maes
463,399,2023-04-08,133,cartão,sem_campanha
464,891,2023-04-09,192,pix,ano_novo
465,105,2023-04-10,195,cartão,sem_campanha
466,696,2023-04-11,-37,boleto,ano_novo
467,330,2023-04-12,140,cartão,black_friday
468,660,2023-04-13,179,cartão,sem_campanha
469,617,2023-04-14,91,cartão,black_friday
470,47,2023-04-15,131,boleto,sem_campanha
471,599,2023-04-16,210,boleto,dia_maes
472,821,2023-04-17,125,cartão,ano_novo
473,949,2023-04-18,229,cartão,black_friday
474,641,2023-04-19,112,cartão,sem_campanha
475,770,2023-04-20,220,boleto,sem_campanha
476,314,2023-04-21,151,cartão,natal
477,147,2023-04-22,106,cartão,dia_maes
478,958,2023-04-23,220,cartão,black_friday
479,462,2023-04-24,89,cartão,sem_campanha
480,584,2023-04-25,110,boleto,dia_pais
481,486,2023-04-26,174,cartão,ano_novo
482,652,2023-04-27,154,cartão,black_friday
483,410,2023-04-28,163,cartão,sem_campanha
484,27,2023-04-29,131,cartão,ano_novo
485,29,2023-04-30,90,cartão,sem_campanha
486,271,2023-05-01,117,boleto,sem_campanha
487,686,2023-05-02,216,cartão,black_friday
488,501,2023-05-03,83,cartão,ano_novo
489,253,2023-05-04,232,cartão,sem_campanha
490,385,2023-05-05,165,boleto,ano_novo
491,60,2023-05-06,120,cartão,natal
492,107,2023-05-07,49,boleto,sem_campanha
493,220,2023-05-08,56,cartão,sem_campanha
494,441,2023-05-09,132,boleto,sem_campanha
495,771,2023-05-10,126,cartão,sem_campanha
496,883,2023-05-11,155,cartão,volta_as_aulas
497,658,2023-05-12,235,cartão,dia_pais
498,564,2023-05-13,176,pix,black_friday
499,572,2023-05-14,143,pix,volta_as_aulas
500,546,2023-05-15,210,boleto,natal
501,96,2023-05-16,157,boleto,dia_maes
502,989,2023-05-17,229,cartão,sem_campanha
503,89,2023-05-18,116,cartão,sem_campanha
504,828,2023-05-19,92,pix,sem_campanha
505,922,2023-05-20,49,boleto,natal
506,231,2023-05-21,144,cartão,sem_campanha
507,968,2023-05-22,88,cartão,natal
508,275,2023-05-23,87,cartão,ano_novo
509,246,2023-05-24,201,cartão,sem_campanha
510,111,2023-05-25,63,cartão,volta_as_aulas
511,234,2023-05-26,155,cartão,sem_campanha
512,278,2023-05-27,145,cartão,dia_pais
513,477,2023-05-28,154,boleto,ano_novo
514,417,2023-05-29,219,boleto,black_friday
515,678,2023-05-30,108,boleto,sem_campanha
516,128,2023-05-31,219,boleto,volta_as_aulas
517,237,2023-06-01,61,cartão,sem_campanha
518,803,2023-06-02,182,boleto,sem_campanha
519,619,2023-06-03,223,cartão,sem_campanha
520,128,2023-06-04,-52,pix,ano_novo
521,707,2023-06-05,148,cartão,dia_maes
522,851,2023-06-06,144,pix,sem_campanha
523,394,2023-06-07,153,cartão,sem_campanha
524,475,2023-06-08,235,cartão,sem_campanha
525,655,2023-06-09,111,cartão,natal
526,395,2023-06-10,90,cartão,black_friday
527,111,2023-06-11,153,cartão,volta_as_aulas
528,90,2023-06-12,206,cartão,sem_campanha
529,763,2023-06-13,177,boleto,dia_pais
530,280,2023-06-14,151,cartão,sem_campanha
531,333,2023-06-15,138,cartão,sem_campanha
532,224,2023-06-16,49,cartão,volta_as_aulas
533,101,2023-06-17,179,cartão,dia_maes
534,132,2023-06-18,185,cartão,sem_campanha
535,13,2023-06-19,115,cartão,volta_as_aulas
536,457,2023-06-20,126,pix,volta_as_aulas
537,441,2023-06-21,97,cartão,dia_pais
538,98,2023-06-22,193,boleto,volta_as_aulas
539,120,2023-06-23,131,boleto,sem_campanha
540,293,2023-06-24,142,boleto,volta_as_aulas
541,816,2023-06-25,181,cartão,dia_pais
542,711,2023-06-26,166,cartão,sem_campanha
543,1,2023-06-27,178,cartão,dia_maes
544,572,2023-06-28,158,boleto,dia_maes
545,250,2023-06-29,159,cartão,sem_campanha
546,652,2023-06-30,159,pix,sem_campanha
547,149,2023-07-01,172,cartão,dia_maes
548,395,2023-07-02,175,cartão,natal
549,44,2023-07-03,88,cartão,sem_campanha
550,883,2023-07-04,120,cartão,sem_campanha
551,698,2023-07-05,139,pix,volta_as_aulas
552,620,2023-07-06,172,cartão,black_friday
553,44,2023-07-07,229,cartão,black_friday
554,78,2023-07-08,109,cartão,sem_campanha
555,226,2023-07-09,193,cartão,volta_as_aulas
556,162,2023-07-10,121,cartão,sem_campanha
557,793,2023-07-11,218,cartão,ano_novo
558,253,2023-07-12,245,cartão,sem_campanha
559,132,2023-07-13,62,cartão,sem_campanha
560,448,2023-07-14,133,cartão,natal
561,884,2023-07-15,32,cartão,ano_novo
562,887,2023-07-16,65,cartão,black_friday
563,474,2023-07-17,68,boleto,dia_pais
564,656,2023-07-18,181,pix,natal
565,778,2023-07-19,171,boleto,natal
566,109,2023-07-20,190,pix,sem_campanha
567,706,2023-07-21,180,cartão,sem_campanha
568,35,2023-07-22,174,cartão,sem_campanha
569,467,2023-07-23,155,cartão,volta_as_aulas
570,902,2023-07-24,143,cartão,ano_novo
571,275,2023-07-25,200,cartão,black_friday
572,187,2023-07-26,150,boleto,volta_as_aulas
573,949,2023-07-27,176,cartão,ano_novo
574,243,2023-07-28,33,cartão,black_friday
575,264,2023-07-29,91,cartão,sem_campanha
576,974,2023-07-30,199,cartão,dia_maes
577,522,2023-07-31,116,cartão,volta_as_aulas
578,963,2023-08-01,80,boleto,ano_novo
579,678,2023-08-02,182,cartão,sem_campanha
580,541,2023-08-03,150,pix,black_friday
581,783,2023-08-04,129,pix,ano_novo
582,87,2023-08-05,225,cartão,ano_novo
583,535,2023-08-06,216,cartão,black_friday
584,210,2023-08-07,140,boleto,sem_campanha
585,46,2023-08-08,186,cartão,dia_maes
586,467,2023-08-09,38,cartão,natal
587,540,2023-08-10,204,pix,natal
588,26,2023-08-11,95,cartão,sem_campanha
589,266,2023-08-12,77,cartão,natal
590,175,2023-08-13,60,cartão,volta_as_aulas
591,516,2023-08-14,56,cartão,natal
592,311,2023-08-15,204,cartão,natal
593,322,2023-08-16,181,cartão,dia_maes
594,579,2023-08-17,111,cartão,volta_as_aulas
595,135,2023-08-18,192,cartão,dia_maes
596,55,2023-08-19,120,pix,black_friday
597,976,2023-08-20,166,boleto,sem_campanha
598,543,2023-08-21,125,cartão,ano_novo
599,586,2023-08-22,144,cartão,natal
